Event,Key/Mouse,Timestamp
MouseMove,"Move to (957, 558)",4.057501
KeyPress,w,4.063698
MouseMove,"Move to (953, 557)",4.06533
MouseMove,"Move to (949, 555)",4.069843
MouseMove,"Move to (945, 555)",4.080064
MouseMove,"Move to (940, 554)",4.089259
MouseMove,"Move to (934, 553)",4.09628
KeyPress,w,4.103792
MouseMove,"Move to (929, 552)",4.103792
MouseMove,"Move to (924, 552)",4.109881
MouseMove,"Move to (919, 552)",4.119866
MouseMove,"Move to (913, 552)",4.119866
KeyPress,w,4.13195
MouseMove,"Move to (910, 552)",4.13195
MouseMove,"Move to (906, 552)",4.14011
MouseMove,"Move to (902, 552)",4.152068
MouseMove,"Move to (898, 552)",4.160209
KeyPress,w,4.167848
MouseMove,"Move to (896, 552)",4.169866
MouseMove,"Move to (893, 552)",4.174359
MouseMove,"Move to (892, 552)",4.179936
MouseMove,"Move to (890, 552)",4.193407
MouseMove,"Move to (889, 552)",4.200392
KeyPress,w,4.200392
MouseMove,"Move to (888, 552)",4.200392
MouseMove,"Move to (888, 552)",4.216155
KeyPress,w,4.232213
MouseMove,"Move to (887, 552)",4.240231
KeyPress,w,4.263168
MouseMove,"Move to (886, 552)",4.279829
KeyPress,w,4.300141
MouseMove,"Move to (886, 552)",4.300141
MouseMove,"Move to (885, 552)",4.311974
MouseMove,"Move to (884, 552)",4.32006
MouseMove,"Move to (883, 553)",4.327132
MouseMove,"Move to (881, 554)",4.33015
KeyPress,w,4.342635
MouseMove,"Move to (879, 555)",4.342635
MouseMove,"Move to (878, 555)",4.353624
MouseMove,"Move to (876, 555)",4.361542
KeyPress,w,4.362752
MouseMove,"Move to (873, 555)",4.369538
MouseMove,"Move to (871, 556)",4.377238
MouseMove,"Move to (867, 557)",4.383769
MouseMove,"Move to (863, 558)",4.390282
KeyPress,w,4.394876
MouseMove,"Move to (859, 559)",4.39991
MouseMove,"Move to (854, 560)",4.39991
MouseMove,"Move to (848, 561)",4.416871
MouseMove,"Move to (841, 563)",4.425062
KeyPress,w,4.426574
MouseMove,"Move to (832, 564)",4.433917
MouseMove,"Move to (824, 565)",4.441533
MouseMove,"Move to (815, 566)",4.447452
MouseMove,"Move to (809, 566)",4.451595
MouseMove,"Move to (800, 566)",4.465176
KeyPress,w,4.465176
MouseMove,"Move to (793, 567)",4.471513
MouseMove,"Move to (786, 567)",4.480089
MouseMove,"Move to (779, 569)",4.487279
KeyPress,w,4.493516
MouseMove,"Move to (774, 569)",4.493516
MouseMove,"Move to (769, 569)",4.500033
MouseMove,"Move to (765, 569)",4.512994
MouseMove,"Move to (763, 569)",4.52022
MouseMove,"Move to (760, 569)",4.52022
KeyPress,w,4.533735
MouseMove,"Move to (758, 569)",4.533735
MouseMove,"Move to (757, 569)",4.542488
MouseMove,"Move to (756, 569)",4.549918
KeyPress,w,4.560221
MouseMove,"Move to (755, 569)",4.569297
MouseMove,"Move to (755, 569)",4.57044
MouseMove,"Move to (754, 569)",4.582344
MouseMove,"Move to (752, 569)",4.589972
KeyPress,w,4.59682
MouseMove,"Move to (750, 569)",4.599897
MouseMove,"Move to (747, 569)",4.605189
MouseMove,"Move to (744, 570)",4.617548
MouseMove,"Move to (740, 570)",4.619931
MouseMove,"Move to (738, 570)",4.630118
KeyPress,w,4.635171
MouseMove,"Move to (734, 571)",4.640677
MouseMove,"Move to (730, 572)",4.647597
MouseMove,"Move to (725, 572)",4.654704
KeyPress,w,4.660337
MouseMove,"Move to (720, 573)",4.66545
MouseMove,"Move to (713, 573)",4.670168
MouseMove,"Move to (706, 573)",4.68018
MouseMove,"Move to (701, 573)",4.686021
KeyPress,w,4.693723
MouseMove,"Move to (694, 573)",4.693723
MouseMove,"Move to (689, 573)",4.702831
MouseMove,"Move to (682, 573)",4.712878
MouseMove,"Move to (677, 573)",4.721995
MouseMove,"Move to (672, 573)",4.729337
KeyPress,w,4.729916
MouseMove,"Move to (667, 573)",4.736271
MouseMove,"Move to (661, 573)",4.743539
MouseMove,"Move to (655, 573)",4.750181
MouseMove,"Move to (648, 573)",4.759867
KeyPress,w,4.765488
MouseMove,"Move to (641, 572)",4.765488
MouseMove,"Move to (634, 572)",4.77779
MouseMove,"Move to (625, 571)",4.78502
MouseMove,"Move to (615, 571)",4.792773
MouseMove,"Move to (605, 571)",4.800183
KeyPress,w,4.804905
MouseMove,"Move to (594, 571)",4.804905
MouseMove,"Move to (582, 571)",4.812644
MouseMove,"Move to (570, 571)",4.825537
KeyPress,w,4.826467
MouseMove,"Move to (559, 571)",4.834156
MouseMove,"Move to (545, 571)",4.84118
MouseMove,"Move to (534, 571)",4.848277
MouseMove,"Move to (520, 572)",4.854126
MouseMove,"Move to (508, 574)",4.860917
KeyPress,w,4.865755
MouseMove,"Move to (495, 575)",4.870064
MouseMove,"Move to (483, 576)",4.880825
MouseMove,"Move to (471, 578)",4.888195
MouseMove,"Move to (459, 579)",4.895394
KeyPress,w,4.895394
MouseMove,"Move to (449, 579)",4.90423
MouseMove,"Move to (441, 579)",4.912972
MouseMove,"Move to (433, 579)",4.920296
KeyPress,w,4.927224
MouseMove,"Move to (424, 580)",4.9303
MouseMove,"Move to (416, 580)",4.937212
MouseMove,"Move to (409, 580)",4.944686
MouseMove,"Move to (402, 580)",4.953465
KeyPress,w,4.958008
MouseMove,"Move to (397, 580)",4.959858
MouseMove,"Move to (392, 580)",4.965838
MouseMove,"Move to (388, 580)",4.971358
MouseMove,"Move to (383, 580)",4.98518
MouseMove,"Move to (378, 580)",4.993705
MouseMove,"Move to (371, 581)",4.999903
KeyPress,w,5.003246
MouseMove,"Move to (362, 583)",5.009475
MouseMove,"Move to (354, 584)",5.013979
MouseMove,"Move to (343, 586)",5.020754
KeyPress,w,5.027505
MouseMove,"Move to (333, 588)",5.030026
MouseMove,"Move to (321, 590)",5.040859
MouseMove,"Move to (306, 593)",5.047963
KeyPress,w,5.054864
MouseMove,"Move to (291, 596)",5.054864
MouseMove,"Move to (943, 554)",5.063216
MouseMove,"Move to (927, 554)",5.072008
MouseMove,"Move to (915, 554)",5.080314
MouseMove,"Move to (906, 553)",5.090441
KeyPress,w,5.091458
MouseMove,"Move to (900, 551)",5.096835
MouseMove,"Move to (899, 543)",5.150114
KeyPress,w,5.159901
KeyPress,w,5.159901
KeyPress,w,5.186314
KeyPress,w,5.221451
KeyPress,w,5.256447
KeyPress,w,5.291449
KeyPress,w,5.320123
KeyPress,w,5.354966
KeyPress,w,5.390148
KeyPress,w,5.423633
KeyPress,w,5.458175
MouseMove,"Move to (899, 543)",5.480284
KeyPress,w,5.485441
MouseMove,"Move to (901, 543)",5.485441
MouseMove,"Move to (906, 543)",5.494651
MouseMove,"Move to (914, 545)",5.50292
MouseMove,"Move to (926, 546)",5.513013
MouseMove,"Move to (936, 547)",5.521131
KeyPress,w,5.527298
MouseMove,"Move to (942, 547)",5.528318
MouseMove,"Move to (945, 545)",5.535072
MouseMove,"Move to (945, 544)",5.54397
KeyPress,w,5.55128
MouseMove,"Move to (945, 542)",5.55128
MouseMove,"Move to (944, 541)",5.561258
MouseMove,"Move to (944, 540)",5.569142
KeyPress,w,5.582734
MouseMove,"Move to (944, 540)",5.582734
MouseMove,"Move to (944, 540)",5.600244
MouseMove,"Move to (945, 539)",5.60359
KeyPress,w,5.617709
MouseMove,"Move to (945, 539)",5.633085
KeyPress,w,5.652088
KeyPress,w,5.686877
KeyPress,w,5.715584
KeyPress,d,5.715584
MouseMove,"Move to (945, 539)",5.721245
MouseMove,"Move to (943, 539)",5.728774
MouseMove,"Move to (940, 539)",5.735333
MouseMove,"Move to (938, 540)",5.742199
MouseMove,"Move to (934, 541)",5.750085
MouseMove,"Move to (930, 542)",5.76018
MouseMove,"Move to (925, 543)",5.769803
MouseMove,"Move to (919, 544)",5.77758
MouseMove,"Move to (912, 545)",5.784671
MouseMove,"Move to (905, 546)",5.793878
MouseMove,"Move to (896, 549)",5.800671
MouseMove,"Move to (886, 550)",5.806295
MouseMove,"Move to (876, 551)",5.811526
MouseMove,"Move to (866, 553)",5.825124
MouseMove,"Move to (855, 554)",5.833119
MouseMove,"Move to (845, 555)",5.841602
MouseMove,"Move to (835, 556)",5.847874
MouseMove,"Move to (825, 558)",5.857234
MouseMove,"Move to (815, 558)",5.864497
MouseMove,"Move to (806, 559)",5.872535
MouseMove,"Move to (799, 559)",5.881027
MouseMove,"Move to (793, 559)",5.889437
MouseMove,"Move to (786, 559)",5.896938
MouseMove,"Move to (779, 559)",5.903384
MouseMove,"Move to (772, 560)",5.9098
MouseMove,"Move to (765, 560)",5.920069
MouseMove,"Move to (760, 560)",5.929339
MouseMove,"Move to (755, 560)",5.936951
MouseMove,"Move to (750, 561)",5.943874
MouseMove,"Move to (746, 561)",5.950672
MouseMove,"Move to (741, 561)",5.959782
MouseMove,"Move to (737, 562)",5.966981
MouseMove,"Move to (733, 562)",5.971275
MouseMove,"Move to (729, 563)",5.985162
MouseMove,"Move to (727, 563)",5.993376
MouseMove,"Move to (724, 563)",6.000164
MouseMove,"Move to (721, 563)",6.010061
MouseMove,"Move to (719, 563)",6.013348
MouseMove,"Move to (716, 564)",6.020513
MouseMove,"Move to (712, 564)",6.029885
MouseMove,"Move to (709, 564)",6.040978
MouseMove,"Move to (705, 564)",6.048149
MouseMove,"Move to (700, 564)",6.054618
MouseMove,"Move to (695, 564)",6.061913
MouseMove,"Move to (689, 564)",6.069943
MouseMove,"Move to (686, 564)",6.079956
MouseMove,"Move to (681, 564)",6.08506
MouseMove,"Move to (677, 564)",6.096225
MouseMove,"Move to (673, 564)",6.10434
MouseMove,"Move to (668, 564)",6.113028
MouseMove,"Move to (665, 564)",6.121326
MouseMove,"Move to (661, 564)",6.128527
MouseMove,"Move to (657, 564)",6.137335
MouseMove,"Move to (653, 564)",6.144898
MouseMove,"Move to (648, 564)",6.151861
MouseMove,"Move to (645, 564)",6.159987
MouseMove,"Move to (641, 564)",6.167511
MouseMove,"Move to (638, 564)",6.174313
MouseMove,"Move to (636, 564)",6.180145
MouseMove,"Move to (633, 564)",6.193144
MouseMove,"Move to (630, 564)",6.201092
MouseMove,"Move to (628, 564)",6.208011
MouseMove,"Move to (626, 564)",6.215279
KeyPress,d,6.223287
MouseMove,"Move to (624, 564)",6.223287
MouseMove,"Move to (622, 564)",6.232752
MouseMove,"Move to (619, 564)",6.240291
MouseMove,"Move to (616, 564)",6.249295
KeyPress,d,6.254287
MouseMove,"Move to (614, 564)",6.257388
MouseMove,"Move to (610, 564)",6.265422
MouseMove,"Move to (606, 564)",6.273958
MouseMove,"Move to (602, 565)",6.281544
KeyPress,d,6.282009
MouseMove,"Move to (597, 566)",6.288077
MouseMove,"Move to (593, 567)",6.294661
MouseMove,"Move to (590, 568)",6.300147
MouseMove,"Move to (588, 568)",6.311104
MouseMove,"Move to (586, 569)",6.320184
KeyPress,d,6.327207
MouseMove,"Move to (585, 569)",6.32768
KeyPress,d,6.360002
MouseMove,"Move to (585, 569)",6.505518
MouseMove,"Move to (587, 568)",6.510228
MouseMove,"Move to (591, 567)",6.520762
MouseMove,"Move to (594, 566)",6.527826
MouseMove,"Move to (599, 564)",6.533505
MouseMove,"Move to (606, 562)",6.541584
MouseMove,"Move to (613, 561)",6.550408
MouseMove,"Move to (622, 558)",6.560093
MouseMove,"Move to (631, 557)",6.567714
MouseMove,"Move to (639, 557)",6.5777
MouseMove,"Move to (648, 555)",6.585502
MouseMove,"Move to (655, 555)",6.593649
MouseMove,"Move to (660, 554)",6.600872
MouseMove,"Move to (663, 554)",6.609467
MouseMove,"Move to (664, 554)",6.617862
KeyPress,d,6.653207
MouseMove,"Move to (665, 554)",6.888116
MouseMove,"Move to (665, 554)",6.902385
MouseMove,"Move to (664, 554)",6.91001
MouseMove,"Move to (661, 554)",6.920106
MouseMove,"Move to (658, 554)",6.929197
MouseMove,"Move to (653, 554)",6.936497
MouseMove,"Move to (646, 556)",6.943098
MouseMove,"Move to (639, 557)",6.950351
MouseMove,"Move to (631, 557)",6.960062
MouseMove,"Move to (621, 558)",6.967588
MouseMove,"Move to (611, 558)",6.972971
MouseMove,"Move to (602, 559)",6.981288
MouseMove,"Move to (595, 559)",6.993046
MouseMove,"Move to (590, 559)",7.001341
MouseMove,"Move to (586, 559)",7.009217
MouseMove,"Move to (584, 559)",7.017022
MouseMove,"Move to (582, 559)",7.054849
MouseMove,"Move to (582, 559)",7.263291
MouseMove,"Move to (580, 559)",7.269956
MouseMove,"Move to (577, 559)",7.280091
MouseMove,"Move to (574, 559)",7.283641
MouseMove,"Move to (567, 559)",7.298422
MouseMove,"Move to (559, 559)",7.305818
MouseMove,"Move to (547, 559)",7.313023
MouseMove,"Move to (532, 559)",7.32079
MouseMove,"Move to (516, 559)",7.329107
MouseMove,"Move to (499, 557)",7.337119
MouseMove,"Move to (482, 555)",7.344131
MouseMove,"Move to (467, 552)",7.352886
MouseMove,"Move to (457, 551)",7.361319
MouseMove,"Move to (450, 551)",7.368567
MouseMove,"Move to (445, 550)",7.376796
MouseMove,"Move to (442, 550)",7.38493
KeyPress,Key.space,7.423805
MouseMove,"Move to (440, 549)",7.439881
MouseMove,"Move to (440, 548)",7.457262
MouseMove,"Move to (440, 547)",7.465141
